"zone_id","week","n_outbreak","species","lag","lag_abd_pt","lag_mean_grd","lag_max_grd"
1254,1,0,"wooduc",0,0,0,0
1254,1,0,"buwtea",-3,NA,NA,NA
1254,1,0,"buwtea",-2,NA,NA,NA
1254,1,0,"buwtea",-1,NA,NA,NA
1254,1,0,"buwtea",0,0,0,0
1254,1,0,"commer",-3,NA,NA,NA
1254,1,0,"commer",-2,NA,NA,NA
1254,1,0,"commer",-1,NA,NA,NA
1254,1,0,"commer",0,0,0,0
1254,1,0,"rinduc",-3,NA,NA,NA
1254,1,0,"rinduc",-2,NA,NA,NA
1254,1,0,"rinduc",-1,NA,NA,NA
1254,1,0,"rinduc",0,0,0,0
1254,1,0,"comgol",-3,NA,NA,NA
1254,1,0,"comgol",-2,NA,NA,NA
1254,1,0,"comgol",-1,NA,NA,NA
1254,1,0,"comgol",0,0,0,0
1254,1,0,"norsho",-3,NA,NA,NA
1254,1,0,"norsho",-2,NA,NA,NA
1254,1,0,"norsho",-1,NA,NA,NA
1254,1,0,"norsho",0,0,0,0
1254,1,0,"buffle",-3,NA,NA,NA
1254,1,0,"buffle",-2,NA,NA,NA
1254,1,0,"buffle",-1,NA,NA,NA
1254,1,0,"buffle",0,0,0,0
1254,1,0,"lessca",-3,NA,NA,NA
1254,1,0,"lessca",-2,NA,NA,NA
1254,1,0,"lessca",-1,NA,NA,NA
1254,1,0,"lessca",0,0,0,0
1254,1,0,"rebmer",-3,NA,NA,NA
1254,1,0,"rebmer",-2,NA,NA,NA
1254,1,0,"rebmer",-1,NA,NA,NA
1254,1,0,"rebmer",0,0,0,0
1254,1,0,"gnwtea",-3,NA,NA,NA
1254,1,0,"gnwtea",-2,NA,NA,NA
1254,1,0,"gnwtea",-1,NA,NA,NA
1254,1,0,"gnwtea",0,0,0,0
1254,1,0,"gadwal",-3,NA,NA,NA
1254,1,0,"gadwal",-2,NA,NA,NA
1254,1,0,"gadwal",-1,NA,NA,NA
1254,1,0,"gadwal",0,0,0,0
1254,1,0,"ambduc",-3,NA,NA,NA
1254,1,0,"ambduc",-2,NA,NA,NA
1254,1,0,"ambduc",-1,NA,NA,NA
1254,1,0,"ambduc",0,0,0,0
1254,1,0,"rudduc",-3,NA,NA,NA
1254,1,0,"rudduc",-2,NA,NA,NA
1254,1,0,"rudduc",-1,NA,NA,NA
1254,1,0,"rudduc",0,0,0,0
1254,1,0,"rethaw",-3,NA,NA,NA
1254,1,0,"rethaw",-2,NA,NA,NA
1254,1,0,"rethaw",-1,NA,NA,NA
1254,1,0,"rethaw",0,0,0,0
1254,1,0,"truswa",-3,NA,NA,NA
1254,1,0,"truswa",-2,NA,NA,NA
1254,1,0,"truswa",-1,NA,NA,NA
1254,1,0,"truswa",0,0,0,0
1254,1,0,"grhowl",-3,NA,NA,NA
1254,1,0,"grhowl",-2,NA,NA,NA
1254,1,0,"grhowl",-1,NA,NA,NA
1254,1,0,"grhowl",0,0.157628496471996,0.15229434085389,0.21081081032753
1254,1,0,"amwpel",-3,NA,NA,NA
1254,1,0,"amwpel",-2,NA,NA,NA
1254,1,0,"amwpel",-1,NA,NA,NA
1254,1,0,"amwpel",0,0,0,0
1254,1,0,"baleag",-3,NA,NA,NA
1254,1,0,"baleag",-2,NA,NA,NA
1254,1,0,"baleag",-1,NA,NA,NA
1254,1,0,"baleag",0,0.148432400530743,0.144002652727067,0.242386937141418
1254,1,0,"brdowl",-3,NA,NA,NA
1254,1,0,"brdowl",-2,NA,NA,NA
1254,1,0,"brdowl",-1,NA,NA,NA
1254,1,0,"brdowl",0,0,0,0
237,2,0,"mallar3",-3,NA,NA,NA
237,2,0,"mallar3",-2,NA,NA,NA
